RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600472976124	 	3.3.1
USER	AdvDevStudyDataLake	1	START	1600472977853	1600472977853
USER	AdvDevStudyDataLake	2	START	1600472977933	1600472977933
USER	AdvDevStudyDataLake	3	START	1600472978004	1600472978004
USER	AdvDevStudyDataLake	4	START	1600472978064	1600472978064
USER	AdvDevStudyDataLake	5	START	1600472978134	1600472978134
USER	AdvDevStudyDataLake	6	START	1600472978204	1600472978204
USER	AdvDevStudyDataLake	7	START	1600472978266	1600472978266
USER	AdvDevStudyDataLake	8	START	1600472978335	1600472978335
USER	AdvDevStudyDataLake	9	START	1600472978407	1600472978407
USER	AdvDevStudyDataLake	10	START	1600472978463	1600472978463
USER	AdvDevStudyDataLake	11	START	1600472978533	1600472978533
USER	AdvDevStudyDataLake	12	START	1600472978603	1600472978603
USER	AdvDevStudyDataLake	13	START	1600472978665	1600472978665
USER	AdvDevStudyDataLake	14	START	1600472978733	1600472978733
USER	AdvDevStudyDataLake	15	START	1600472978804	1600472978804
USER	AdvDevStudyDataLake	16	START	1600472978865	1600472978865
USER	AdvDevStudyDataLake	17	START	1600472978923	1600472978923
USER	AdvDevStudyDataLake	18	START	1600472978983	1600472978983
USER	AdvDevStudyDataLake	19	START	1600472979044	1600472979044
USER	AdvDevStudyDataLake	20	START	1600472979104	1600472979104
USER	AdvDevStudyDataLake	21	START	1600472979165	1600472979165
USER	AdvDevStudyDataLake	22	START	1600472979225	1600472979225
USER	AdvDevStudyDataLake	23	START	1600472979284	1600472979284
USER	AdvDevStudyDataLake	24	START	1600472979334	1600472979334
USER	AdvDevStudyDataLake	25	START	1600472979394	1600472979394
USER	AdvDevStudyDataLake	26	START	1600472979454	1600472979454
USER	AdvDevStudyDataLake	27	START	1600472979515	1600472979515
USER	AdvDevStudyDataLake	28	START	1600472979574	1600472979574
USER	AdvDevStudyDataLake	29	START	1600472979634	1600472979634
USER	AdvDevStudyDataLake	30	START	1600472979695	1600472979695
USER	AdvDevStudyDataLake	31	START	1600472979753	1600472979753
USER	AdvDevStudyDataLake	32	START	1600472979815	1600472979815
USER	AdvDevStudyDataLake	33	START	1600472979866	1600472979866
USER	AdvDevStudyDataLake	34	START	1600472979923	1600472979923
USER	AdvDevStudyDataLake	35	START	1600472979983	1600472979983
USER	AdvDevStudyDataLake	36	START	1600472980034	1600472980034
